"","X.1","X","Y","id","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15","cluster","hclust","Cluster_final"
"5947",5947,3.05049891623267,-13.0899479425225,3630010020,"12/29/2014",376000,3,2,1540,1827,2,0,0,3,8,1540,0,2005,0,98029,47.5479,-121.999,1560,2058,3,8,"top"
"5948",5948,1.25450137061743,-25.2769280220315,6793300010,"12/15/2014",705000,4,2.75,3000,6222,2,0,0,3,9,3000,0,2004,0,98029,47.5582,-122.025,3340,7222,3,4,"med"
"5949",5949,-5.91111516995375,-26.1495114730122,7852020250,"6/2/2014",725995,4,2.5,3190,7869,2,0,2,3,9,3190,0,2001,0,98065,47.5317,-121.866,2630,6739,3,8,"top"
"5950",5950,14.9964647863124,-1.62332051375963,2473400290,"1/26/2015",285000,4,2.5,1870,8190,1,0,0,3,7,1100,770,1977,0,98058,47.4521,-122.161,1590,9150,2,9,"low"
"5951",5951,15.03515665036,-15.8308149648971,3328500250,"5/2/2014",285000,4,2.5,2200,9397,2,0,0,3,8,2200,0,1987,0,98001,47.3406,-122.269,2310,9176,3,5,"low"
"5952",5952,-6.43838917036529,-14.9065227735362,629420080,"8/20/2014",731000,4,2.5,3070,5936,2,0,0,3,9,3070,0,2005,0,98075,47.5902,-121.988,3160,5936,3,8,"top"
"5953",5953,-10.3598194744287,-22.9796003847665,2524049215,"5/1/2015",1560000,4,3.75,3730,17000,2,0,3,4,10,2820,910,1986,0,98040,47.5355,-122.242,3880,15550,3,8,"top"
"5954",5954,-28.1346943744592,5.15669223553253,8663310050,"10/6/2014",510000,4,2.5,2440,10423,1,0,0,3,7,2440,0,1955,1993,98034,47.725,-122.172,1990,7758,1,2,"top"
"5955",5955,0.206034727230891,18.9802512153432,4083304835,"10/23/2014",620000,2,1,990,4332,1,0,0,3,7,990,0,1909,0,98103,47.6528,-122.331,1920,3420,1,1,"low"
"5956",5956,-2.99685177041772,-25.9933803443473,8155800050,"4/22/2015",1110000,3,4,4160,31796,2,0,0,3,11,4160,0,1989,0,98053,47.6635,-122.017,4300,36192,3,4,"med"
"5957",5957,-13.2168227626494,-7.04092123450097,4403200255,"7/22/2014",796000,4,3.5,3670,4960,2,0,0,3,9,2870,800,2005,0,98177,47.7022,-122.374,1520,6335,3,7,"med"
"5958",5958,5.52668382405566,15.8866864910231,5379800500,"9/30/2014",255000,3,1.5,910,25500,1,0,0,3,5,910,0,1943,0,98188,47.4565,-122.276,1580,10019,1,1,"low"
"5959",5959,-14.7419117499303,-9.11963644104063,7010700660,"4/28/2015",807000,3,2.5,1940,4000,2,0,0,4,9,1940,0,2000,0,98199,47.659,-122.398,1410,4000,3,7,"med"
"5960",5960,9.94736908019179,-22.4004338658042,9406540190,"11/10/2014",315000,4,2.5,1780,6000,2,0,0,3,9,1780,0,2000,0,98038,47.3774,-122.027,2650,6000,3,5,"low"
"5961",5961,-2.13628814097452,-12.1308716813885,1795920250,"2/27/2015",637000,3,2.25,2200,7355,2,0,0,4,8,2200,0,1986,0,98052,47.7266,-122.103,2290,7868,3,8,"top"
"5962",5962,-17.4068449699687,18.0104235093342,5249800010,"12/3/2014",2730000,4,4.25,6410,43838,2.5,0,2,4,12,5610,800,1906,0,98144,47.5703,-122.28,2270,6630,1,6,"med"
"5963",5963,0.883221941665882,-3.62855830566666,8651510420,"12/11/2014",490000,3,2,2070,10023,1,0,0,3,8,1220,850,1981,0,98074,47.6492,-122.062,2130,9694,1,3,"med"
"5964",5964,-4.75438726635043,8.70939513172108,1422700080,"6/10/2014",253000,3,1.75,2040,7281,1,0,0,3,7,1020,1020,1962,0,98188,47.4681,-122.282,1740,7527,1,6,"med"
"5965",5965,10.9284207986177,-18.4801633036715,5468780250,"5/8/2014",325900,4,2.5,2320,6270,2,0,0,3,8,2320,0,2004,0,98042,47.3501,-122.14,2150,6270,3,5,"low"
"5966",5966,-4.84118854343586,13.1141661919606,3723800415,"10/15/2014",425000,2,2,1440,6677,1,0,0,3,7,870,570,1952,0,98118,47.5513,-122.264,2020,7642,1,1,"low"
"5967",5967,10.606466199703,-13.3052263844917,1545800290,"9/5/2014",215000,4,2.5,1700,6675,2,0,0,3,7,1700,0,1997,0,98038,47.3638,-122.053,1570,7540,3,5,"low"
"5968",5968,10.6819202835804,-13.4003876531431,1545800290,"4/8/2015",315000,4,2.5,1700,6675,2,0,0,3,7,1700,0,1997,0,98038,47.3638,-122.053,1570,7540,3,5,"low"
"5969",5969,-25.6164626191993,9.95322565254828,2804100095,"5/16/2014",724800,3,2,2050,3933,1,0,0,3,8,1180,870,1926,2001,98112,47.6436,-122.303,1940,4000,1,2,"top"
"5970",5970,-3.93983623375487,18.0330017609408,7282300095,"7/9/2014",295000,2,1,800,6500,1,0,0,4,6,800,0,1953,0,98133,47.7621,-122.358,1220,7000,1,1,"low"
"5971",5971,-2.74191580698689,11.2771658959612,930000289,"3/16/2015",509007,3,1.75,1800,7620,1,0,0,3,8,1350,450,1951,0,98177,47.7165,-122.361,1770,7620,1,6,"med"
"5972",5972,12.7226861793108,10.7432469824395,2822059181,"4/13/2015",306000,5,2,1460,169448,1.5,0,0,3,6,1460,0,1910,0,98030,47.3714,-122.177,2250,6059,2,9,"low"
"5973",5973,19.7542708623892,-0.956710639560782,1761100080,"7/17/2014",205000,3,1.75,1290,7210,1,0,0,3,7,1290,0,1984,0,98023,47.2889,-122.363,1350,7509,2,9,"low"
"5974",5974,16.679579945724,0.920628444885145,2953000250,"7/31/2014",275000,3,1.5,1900,9737,1,0,0,4,7,1200,700,1968,0,98031,47.4125,-122.207,1670,9737,2,9,"low"
"5975",5975,-13.4835483742621,12.6716573723556,3416600185,"11/6/2014",685000,3,1.75,1480,7000,1,0,2,3,8,1480,0,1963,0,98122,47.6018,-122.291,1850,4000,1,6,"med"
"5976",5976,3.28842119258853,3.53642945452212,927200380,"4/20/2015",465000,4,2.5,2090,12833,1,0,0,3,7,1220,870,1969,0,98034,47.7266,-122.175,1740,11200,2,3,"med"
"5977",5977,2.34732510620486,-4.24169183596104,7922750020,"7/8/2014",560000,4,2.25,1950,9800,1,0,0,3,8,1330,620,1968,0,98033,47.666,-122.178,2170,9800,1,3,"med"
"5978",5978,8.72749558476781,4.9314829132305,259600050,"2/23/2015",458500,3,1.75,1250,9605,1,0,0,3,7,1250,0,1964,0,98008,47.6325,-122.121,1570,9605,2,3,"med"
"5979",5979,9.85716617063095,5.66269437999468,3298300420,"3/31/2015",354000,3,1,990,7590,1,0,0,3,6,990,0,1959,0,98008,47.6228,-122.121,1100,7590,2,3,"med"
"5980",5980,7.02201781625831,-14.4109090826317,1310440470,"1/13/2015",441000,3,2.5,2740,7923,2,0,0,3,9,2740,0,1998,0,98058,47.4349,-122.105,2740,8815,3,5,"low"
"5981",5981,1.97803367916794,15.0854258748874,3438502668,"8/29/2014",194000,3,1.75,1260,10488,1,0,0,2,7,1110,150,1952,0,98106,47.5417,-122.357,1540,9120,1,1,"low"
"5982",5982,12.0002330732944,-18.9144146626081,5591700290,"5/15/2014",316500,4,2.5,2150,6807,2,0,0,4,8,2150,0,1991,0,98031,47.4053,-122.189,1910,7240,3,5,"low"
"5983",5983,-5.80668637267615,22.9824535503684,4172100050,"8/25/2014",524950,3,1.75,1750,3250,1.5,0,0,4,7,1230,520,1929,0,98117,47.6807,-122.366,1480,3600,1,1,"low"
"5984",5984,-12.3667402531176,-1.20876419047037,9275700005,"4/27/2015",1050000,3,2.25,2880,6092,2,0,4,4,8,1920,960,1983,0,98116,47.5878,-122.381,2880,5308,3,7,"med"
"5985",5985,-0.94984120007306,-13.4313014421447,1089000190,"4/12/2015",925000,4,2.25,2590,13894,2,0,0,4,9,2590,0,1975,0,98005,47.6351,-122.165,2720,13894,3,8,"top"
"5986",5986,-4.66635198946102,27.2921917079506,9523103000,"10/20/2014",780000,3,1.75,2430,4524,1.5,0,0,4,7,1830,600,1924,0,98103,47.674,-122.35,1610,4100,1,1,"low"
"5987",5987,11.7193922501239,-12.9235524793776,2781270440,"5/19/2014",241000,2,2,1470,3128,2,0,0,3,6,1470,0,2005,0,98038,47.349,-122.021,1180,2576,3,5,"low"
"5988",5988,-6.78708317137187,8.05007653010406,2105200050,"6/19/2014",519000,3,2.75,2020,10744,1,0,0,5,7,1270,750,1954,0,98166,47.4403,-122.343,2020,11069,2,6,"med"
"5989",5989,2.53562882206734,23.6678312821534,7625703637,"8/28/2014",286000,2,1,610,4000,1,0,0,4,6,610,0,1918,0,98136,47.5469,-122.391,870,5160,1,1,"low"
"5990",5990,-2.04674591800315,10.5707965182866,2926049408,"10/9/2014",4e+05,3,2,3000,17800,1,0,0,3,8,1500,1500,1962,0,98125,47.7058,-122.315,2400,8300,1,6,"med"
"5991",5991,13.0365377084726,8.86302406683904,3224079005,"10/9/2014",255000,2,1,920,43560,1,0,0,4,5,920,0,1923,0,98024,47.5245,-121.931,1530,11875,2,9,"low"
"5992",5992,3.5572762356525,20.1993537779422,5147600095,"1/21/2015",152000,3,1.75,1070,7754,1,0,0,3,6,1070,0,1953,0,98146,47.5079,-122.344,950,7740,1,1,"low"
"5993",5993,-26.5198450084651,6.16126816432467,2413900050,"12/1/2014",599000,4,2,3410,15143,2,0,0,4,8,3410,0,1972,1987,98052,47.6709,-122.052,2350,25936,3,2,"top"
"5994",5994,-3.632557609156,-8.9838512122446,3820350050,"10/24/2014",330000,4,2.5,1820,3905,2,0,0,3,7,1820,0,2001,0,98019,47.7346,-121.985,1820,3863,3,8,"top"
"5995",5995,-0.90121985800744,21.8797480488038,8910500675,"5/19/2014",461000,2,1,1060,7193,1,0,0,3,7,1060,0,1926,0,98133,47.7102,-122.356,1980,7560,1,1,"low"
"5996",5996,6.74420553359351,-14.246049189768,1461200020,"3/10/2015",620000,5,2.5,3070,34991,2,0,0,3,9,3070,0,1995,0,98059,47.4721,-122.148,2150,19515,3,5,"low"
"5997",5997,15.0611008889641,0.738980098375027,722079056,"10/6/2014",352500,4,2.5,2300,219106,1,0,0,4,7,1840,460,1958,0,98038,47.4044,-121.963,2120,123710,2,9,"low"
"5998",5998,1.6176688779039,-0.892134465795365,8663370020,"8/6/2014",435000,3,2,1610,6911,1,0,0,3,7,1260,350,1988,0,98034,47.7188,-122.177,1630,6911,1,3,"med"
"5999",5999,-4.88275586270768,-15.9460976850585,2568200130,"5/16/2014",725000,5,2.75,2830,5310,2,0,0,3,9,2830,0,2006,0,98052,47.7074,-122.101,3150,6581,3,8,"top"
"6000",6000,0.703406097058876,-0.811064414256966,8947800080,"11/5/2014",3e+05,3,1,970,12300,1,0,0,3,7,970,0,1982,0,98028,47.7335,-122.227,2040,9994,1,3,"med"
"6001",6001,10.819448587713,-12.7464385503152,1545803390,"11/11/2014",252000,3,2.5,1680,8284,2,0,0,3,7,1680,0,1989,0,98038,47.3609,-122.048,1550,8284,3,5,"low"
"6002",6002,6.83397003527185,1.21266877913184,1088030010,"10/5/2014",464625,4,2.75,2040,8996,1,0,0,4,8,1260,780,1974,0,98033,47.666,-122.185,2470,9180,2,3,"med"
"6003",6003,-1.81948028459697,14.1263130254417,1829700080,"12/12/2014",340000,3,1,1450,9586,2,0,0,3,7,1450,0,1950,0,98155,47.7443,-122.326,1500,8592,1,1,"low"
"6004",6004,-11.2504060626625,23.9148579185505,2125049024,"6/20/2014",1330000,4,2.25,2870,6280,1.5,0,0,4,9,1980,890,1905,0,98112,47.6329,-122.31,2370,4760,1,1,"low"
"6005",6005,11.3215209746725,-2.35954206758265,5706200020,"2/6/2015",455000,5,2,1870,13970,1,0,0,4,7,1120,750,1969,0,98027,47.5243,-122.042,1860,13970,2,3,"med"
"6006",6006,8.04956868741698,-11.6079983554898,2316400285,"5/13/2015",495000,4,3.5,2490,18042,2,0,0,3,8,2490,0,2003,0,98070,47.4161,-122.441,1960,21107,3,5,"low"
"6007",6007,-15.0809176914099,-11.5644981686584,7588700080,"4/21/2015",925000,4,2.5,3350,4501,2,0,0,3,9,2640,710,2002,0,98117,47.688,-122.379,1000,4500,3,7,"med"
"6008",6008,2.04983749869244,-26.7383894341931,7853310380,"12/11/2014",587000,4,2.75,3190,8737,2,0,0,3,9,3190,0,2006,0,98065,47.523,-121.877,3240,7131,3,4,"med"
"6009",6009,-8.48549411844323,15.7425168409313,6821101870,"5/5/2014",524000,3,1.75,1560,5520,1,0,0,4,6,780,780,1944,0,98199,47.6515,-122.399,1470,6000,1,1,"low"
"6010",6010,-23.2767774893079,9.99289953204675,9551201660,"6/13/2014",1030000,4,2.5,2750,4800,2,0,0,3,9,1960,790,1905,2005,98103,47.6709,-122.337,2400,5300,1,2,"top"
"6011",6011,8.42622091570233,14.4503101314827,3530500010,"9/30/2014",176000,2,1,920,2332,1,0,0,4,8,920,0,1980,0,98198,47.3779,-122.32,1310,2853,2,1,"low"
"6012",6012,2.47764974943518,21.8885648158263,7387500185,"5/21/2014",249900,2,1,1140,5500,1,0,0,3,6,1140,0,1947,0,98106,47.5187,-122.363,1110,5500,1,1,"low"
"6013",6013,-4.79734248546787,-8.55249519678724,1626079132,"6/5/2014",499500,3,2.5,2520,53143,1.5,0,0,3,7,2520,0,1988,0,98019,47.743,-121.925,2020,56628,3,8,"top"
"6014",6014,7.06992841862821,-5.42201655666036,8854100130,"9/11/2014",6e+05,5,3.5,3150,10542,1,0,0,5,9,1620,1530,1974,0,98011,47.7469,-122.217,3150,11807,2,3,"med"
"6015",6015,-17.3271793972701,-2.10089877308631,2123049142,"8/14/2014",294000,4,2.5,2040,7800,2,0,0,3,7,2040,0,2003,0,98168,47.473,-122.293,1860,10954,3,7,"med"
"6016",6016,15.7320700283995,-1.50166715349064,3423059109,"4/15/2015",272000,4,2,1780,19843,1,0,0,3,7,1780,0,1963,0,98058,47.4414,-122.154,2210,13500,2,9,"low"
"6017",6017,-1.03858461440847,-18.8156714085206,5631500992,"5/15/2014",390000,3,2.5,2240,10800,2,0,0,3,8,2240,0,1996,0,98028,47.7433,-122.229,1900,9900,3,4,"med"
"6018",6018,-14.0628288592377,9.09541407609876,6641800020,"1/9/2015",7e+05,4,2.5,3270,9650,1,0,3,4,9,2320,950,1971,0,98166,47.409,-122.333,2340,17357,2,6,"med"
"6019",6019,1.88974799697006,-26.675182227369,7853301700,"4/20/2015",635000,5,2.75,3110,6621,2,0,0,3,9,3110,0,2006,0,98065,47.543,-121.888,3550,7953,3,4,"med"
"6020",6020,-10.922725761091,21.7602185762357,2158900290,"4/16/2015",920000,4,1.5,1850,3600,2,0,0,3,8,1660,190,1929,0,98112,47.6376,-122.307,1970,3600,1,1,"low"
"6021",6021,5.92099200296761,3.87520776440109,2273600250,"8/4/2014",5e+05,3,1.75,1570,8530,1,0,0,4,7,1190,380,1983,0,98033,47.6881,-122.184,1530,8708,2,3,"med"
"6022",6022,3.12334136240705,16.6554074020417,3298700840,"8/21/2014",263500,2,1,750,4515,1,0,0,3,6,750,0,1942,0,98106,47.5198,-122.351,1020,5000,1,1,"low"
"6023",6023,-0.311362602264695,-16.0099162020553,5450500010,"3/13/2015",975000,4,2.25,2240,9990,2,0,0,4,10,2240,0,1967,0,98040,47.5516,-122.217,2600,11480,3,8,"top"
"6024",6024,2.52471375616977,-13.2464154764089,3629870020,"11/14/2014",575000,3,2.5,1870,3485,2,0,0,3,8,1870,0,2001,0,98029,47.5493,-122.004,1940,3485,3,8,"top"
"6025",6025,-0.789321862632317,-22.7017377631214,8856700130,"6/12/2014",822000,4,2.5,2683,40386,2,0,0,4,9,2683,0,1987,0,98052,47.6982,-122.138,2683,34800,3,4,"med"
"6026",6026,-2.86847585033969,17.4308225107953,6381502155,"1/16/2015",3e+05,3,1,1490,7200,1,0,0,3,7,1490,0,1954,0,98125,47.7276,-122.307,1280,7200,1,1,"low"
"6027",6027,-4.82841286491327,-10.02201075189,1443550080,"3/30/2015",487600,4,2.5,2340,12080,2,0,0,3,8,2340,0,1999,0,98019,47.7325,-121.969,2200,12403,3,8,"top"
"6028",6028,-28.2875867307674,6.37088057066345,2205700345,"7/7/2014",5e+05,4,2,1700,8640,1,0,0,3,7,850,850,1955,2010,98006,47.5774,-122.153,1620,9000,3,2,"top"
"6029",6029,-23.1129352928551,-11.4146792047047,6926700660,"9/11/2014",680000,2,2,1450,989,3,0,0,3,9,1450,0,2014,0,98109,47.6354,-122.346,1490,1240,3,7,"med"
"6030",6030,16.1357841106121,-23.3556066613268,3279050130,"9/10/2014",419000,3,2.5,3310,21096,2,0,2,3,9,3310,0,2004,0,98023,47.3049,-122.386,3310,13835,3,5,"low"
"6031",6031,-8.85073476475968,13.3512671999669,2770606890,"8/7/2014",450000,4,1.75,1520,5250,1,0,0,3,6,1520,0,1949,0,98199,47.6581,-122.39,1530,5250,1,1,"low"
"6032",6032,-8.76036744597002,20.9380126626221,2867100190,"6/18/2014",650000,5,1.75,1260,4500,1.5,0,0,3,7,1260,0,1926,0,98119,47.6452,-122.369,1410,4388,1,1,"low"
"6033",6033,4.06429004247683,-2.47195305230331,8562600190,"6/23/2014",550000,3,1.75,1840,8086,1,0,0,4,8,1840,0,1964,0,98052,47.67,-122.155,1840,8060,2,3,"med"
"6034",6034,-11.2051967538597,13.1649894555672,5680000545,"12/3/2014",330000,4,2,1750,5202,1,0,1,4,6,1070,680,1942,0,98108,47.5677,-122.317,2090,5400,1,6,"med"
"6035",6035,19.8281163005244,4.74643746576718,1922059027,"1/23/2015",282510,4,1,1450,32234,1.5,0,0,4,6,1450,0,1932,0,98030,47.3818,-122.21,1530,10125,2,9,"low"
"6036",6036,-8.83645578558142,-21.8686555073031,1725059316,"11/20/2014",2390000,4,4,6330,13296,2,0,2,3,13,4900,1430,2000,0,98033,47.6488,-122.201,2200,9196,3,8,"top"
"6037",6037,20.419662352893,-1.77004897786998,3275300440,"11/20/2014",230000,2,2,1260,10200,1,0,0,3,7,1020,240,1983,0,98003,47.2593,-122.312,1560,10200,2,9,"low"
"6038",6038,-25.1168611633368,8.81869979410819,952001735,"10/4/2014",750000,4,1.75,2100,6613,2,0,0,3,8,2100,0,1909,2004,98116,47.567,-122.385,1630,5750,3,2,"top"
"6039",6039,12.349724867619,-14.4212403640163,1402950190,"9/16/2014",321000,4,2.5,2430,5366,2,0,0,3,8,2430,0,2002,0,98092,47.3352,-122.19,2100,5414,3,5,"low"
"6040",6040,-10.4521212080589,-23.0833382519077,4045100190,"10/27/2014",2200000,4,3.25,4250,18000,2,0,3,5,10,3350,900,1980,0,98040,47.5612,-122.229,3790,14537,3,8,"top"
"6041",6041,-4.27484851082535,8.94004984890525,1207200010,"3/18/2015",245000,4,2,1830,10416,1,0,0,3,7,1370,460,1958,0,98146,47.4878,-122.341,1830,9271,1,6,"med"
"6042",6042,-0.789725601184379,22.1100364120709,6815100095,"12/23/2014",510000,2,1,1310,4000,1,0,0,3,6,1310,0,1913,0,98103,47.6854,-122.329,1550,4000,1,1,"low"
"6043",6043,-4.58659712071428,-17.0468381306686,3825310130,"6/24/2014",751000,4,3.25,3090,9571,2,0,0,3,9,2370,720,2004,0,98052,47.7058,-122.131,3630,9110,3,8,"top"
"6044",6044,-1.66020747522931,-14.3780885056373,3276930380,"5/23/2014",675000,4,2.5,2560,36601,2,0,0,4,9,2560,0,1987,0,98075,47.5851,-121.992,2790,36601,3,8,"top"
"6045",6045,25.6681979181027,-1.47524577420927,8937600080,"1/26/2015",295000,3,1.75,1930,13350,1,0,0,3,8,1930,0,1967,0,98023,47.3317,-122.365,2270,13350,2,9,"low"
"6046",6046,0.217819082475237,24.3592439464214,8024200010,"10/28/2014",312000,2,1,1460,6000,1,0,0,2,7,1260,200,1925,0,98115,47.7009,-122.317,1580,6380,1,1,"low"
"6047",6047,-7.03732469784205,-15.754198571957,624110020,"9/25/2014",730000,3,3,3460,13129,2,0,0,3,9,2560,900,1988,0,98077,47.7315,-122.058,3460,12568,3,8,"top"
"6048",6048,-3.15890533564154,-23.2748940050249,6192410280,"1/2/2015",762500,5,3.5,3290,5880,2,0,0,3,9,2670,620,2005,0,98052,47.7067,-122.119,3090,5680,3,8,"top"
"6049",6049,1.10499052783235,19.9206908008417,4302201045,"5/28/2014",150000,3,1,820,7680,1.5,0,0,3,6,820,0,1910,0,98106,47.528,-122.359,1470,6912,1,1,"low"
"6050",6050,-1.09564298482787,13.5240314373367,507100020,"3/9/2015",270000,3,1,1480,7374,1,0,0,3,6,760,720,1954,0,98133,47.7775,-122.336,1480,8934,1,1,"low"
"6051",6051,9.44921131211701,4.22456206031009,259600280,"4/6/2015",4e+05,4,2,1420,9301,1,0,0,4,7,1420,0,1963,0,98008,47.6325,-122.121,1530,8075,2,3,"med"
"6052",6052,1.47114881487273,-24.5864453644986,7691800130,"8/26/2014",650000,3,2.5,2790,6720,2,0,0,3,8,2790,0,2002,0,98075,47.5958,-122.038,2620,6720,3,4,"med"
"6053",6053,-4.72803757931383,19.6701988572065,2056100275,"10/6/2014",530000,2,1.5,1390,5000,1,0,0,4,8,970,420,1954,0,98116,47.5673,-122.401,1610,5000,1,1,"low"
"6054",6054,10.5082657516902,4.12335228315155,2202500080,"6/30/2014",248000,3,1,950,9400,1,0,0,4,7,950,0,1954,0,98006,47.5746,-122.136,1260,9400,2,3,"med"
"6055",6055,-8.23507377923426,17.5989053470467,3179102155,"1/8/2015",760000,4,3.5,3000,5300,1,0,0,5,7,1780,1220,1949,0,98115,47.6748,-122.279,1360,5450,1,1,"low"
"6056",6056,-6.80059533505713,9.46065810967923,937000280,"2/20/2015",199000,4,1,1280,10521,1.5,0,0,3,7,1280,0,1960,0,98198,47.4215,-122.289,1540,9384,1,6,"med"
"6057",6057,-8.67440854983065,8.36879302798565,5379805253,"10/20/2014",240000,2,1,870,8400,1,0,0,3,7,870,0,1960,0,98188,47.4493,-122.282,1070,12465,1,6,"med"
"6058",6058,-8.00002005539536,14.8105626114783,6821102340,"5/4/2015",415000,3,1.5,1360,1795,2,0,0,3,7,1360,0,1945,0,98199,47.6471,-122.397,1580,1795,1,1,"low"
"6059",6059,16.8553606130866,8.67119527260725,7229900250,"12/2/2014",228000,3,1,1000,16376,1,0,0,3,7,1000,0,1959,0,98059,47.4825,-122.108,1420,16192,2,9,"low"
"6060",6060,-4.40185687986372,5.49964684099528,7287100177,"2/25/2015",525000,4,2.5,2740,12106,1,0,0,3,8,1980,760,1992,0,98133,47.7648,-122.355,2170,11156,1,6,"med"
"6061",6061,-1.05342905238287,24.6388498355102,8820900670,"6/23/2014",399950,3,1.75,1560,5223,1,0,0,4,7,810,750,1940,0,98125,47.7175,-122.288,1440,8491,1,1,"low"
"6062",6062,-3.43017926821473,-14.1917996686313,3275850020,"4/13/2015",781000,4,2.5,2590,8571,2,0,0,3,9,2590,0,1988,0,98052,47.691,-122.105,2360,8155,3,8,"top"
"6063",6063,-22.193595675876,-12.7908414271231,9528100899,"4/28/2015",827000,3,2.5,1850,1330,2.5,0,0,3,9,1560,290,2004,0,98115,47.6831,-122.325,1810,2071,3,7,"med"
"6064",6064,3.1250986194335,-6.43619376181324,7016000440,"7/16/2014",525000,5,2.25,2500,8621,1.5,0,0,4,7,2500,0,1968,0,98034,47.7379,-122.185,1980,7395,2,8,"top"
"6065",6065,0.332172169050054,-21.9366241281693,7202340010,"2/24/2015",671300,4,2.5,3280,5232,2,0,0,3,7,3280,0,2004,0,98053,47.6798,-122.033,2600,5080,3,4,"med"
"6066",6066,1.82623290403828,23.3758906224791,6911700066,"6/4/2014",175000,2,1,670,2378,1,0,0,3,5,670,0,1919,0,98126,47.5769,-122.372,700,2970,1,1,"low"
"6067",6067,7.33491595940107,-5.50822006860189,7511000050,"3/2/2015",1100000,5,2.75,2890,22547,1,0,0,4,10,2150,740,1963,0,98040,47.5476,-122.219,3010,17809,2,3,"med"
"6068",6068,8.87237906523174,-0.765681258134609,2925059260,"5/6/2015",8e+05,5,2.5,3000,10560,1,0,0,3,8,1500,1500,1966,0,98004,47.6249,-122.206,2690,11616,2,3,"med"
"6069",6069,10.329961125586,-15.7192513574628,3558000170,"7/11/2014",329950,4,2.5,1920,4600,2,0,0,3,7,1920,0,2002,0,98038,47.3795,-122.023,2200,6600,3,5,"low"
"6070",6070,0.732172113437411,-19.3729612820072,8651730290,"8/5/2014",445000,4,3.25,1960,7200,2,0,0,3,7,1960,0,1979,0,98034,47.7291,-122.218,1980,7529,3,4,"med"
"6071",6071,23.5988144445308,-3.14778414903479,9197100263,"8/19/2014",237000,3,1.75,2000,12208,1,0,0,3,7,1140,860,1979,0,98032,47.3752,-122.236,1060,8194,2,9,"low"
"6072",6072,-23.0541352096969,9.6123829921758,8941100095,"9/23/2014",1110000,6,4,3600,6224,2,0,0,3,9,2610,990,1945,2006,98199,47.6531,-122.405,1430,6224,1,2,"top"
"6073",6073,8.84142351988732,-16.3128544206178,2781100080,"12/10/2014",438900,4,2.5,2740,5700,2,0,0,3,9,2740,0,2006,0,98038,47.3535,-122.026,3010,5281,3,5,"low"
"6074",6074,-23.1069022424451,9.68513615021173,9822700190,"8/8/2014",1280000,9,4.5,3650,5000,2,0,0,3,8,2530,1120,1915,2010,98105,47.6604,-122.289,2510,5000,1,2,"top"
"6075",6075,2.40665716264057,-14.1736835646705,3630030290,"10/17/2014",6e+05,4,2.5,2310,3866,2,0,0,3,8,2310,0,2005,0,98029,47.5498,-121.996,1950,4023,3,8,"top"
"6076",6076,-0.170583354357489,-21.9541560510566,9510910250,"1/20/2015",670000,4,2.5,2095,4569,2,0,0,3,9,2095,0,2002,0,98052,47.6603,-122.087,2095,4385,3,4,"med"
"6077",6077,-1.85730847348684,-4.30998771673693,8682231330,"5/4/2015",519000,2,2,1560,4823,1,0,0,3,8,1560,0,2004,0,98053,47.7111,-122.032,1855,4989,3,3,"med"
"6078",6078,15.1613559693828,-1.97717774337197,2473480780,"3/11/2015",320000,3,2.25,1880,7350,1,0,0,3,8,1390,490,1984,0,98058,47.4457,-122.123,1910,8400,2,9,"low"
"6079",6079,-19.4838950062226,-9.24012766125463,8641500280,"5/22/2014",270000,2,1.5,840,867,2,0,0,3,7,840,0,2005,0,98115,47.6955,-122.304,840,1322,1,7,"med"
"6080",6080,2.49140201840677,-19.8652811363348,7605800050,"6/2/2014",1e+06,3,2.5,2730,5832,2,0,0,3,9,2730,0,1998,0,98005,47.6216,-122.161,2360,5832,3,4,"med"
"6081",6081,0.3063282645236,23.2290155104518,9828200525,"8/15/2014",330000,1,1,860,4800,1,0,0,3,6,860,0,1907,0,98122,47.6146,-122.299,1380,4800,1,1,"low"
"6082",6082,5.6489062401895,-2.66831420626872,7971300050,"7/10/2014",657500,3,2,2320,10960,1,0,0,3,7,1510,810,1956,0,98005,47.6157,-122.174,2160,10960,1,3,"med"
"6083",6083,8.39556300961829,5.81004242436232,126049169,"8/28/2014",450000,3,1.75,1540,61419,1,0,0,3,7,1540,0,1967,0,98028,47.7663,-122.228,3790,8529,2,3,"med"
"6084",6084,9.66692768146436,9.22494143765816,5062300280,"4/16/2015",150000,3,1,890,6488,1.5,0,0,3,5,890,0,1928,0,98014,47.7087,-121.352,1330,16250,1,3,"med"
"6085",6085,9.75508168568712,-24.7662239545525,7167000020,"6/16/2014",792500,4,2.5,4290,175421,2,0,0,3,10,4290,0,2004,0,98010,47.3585,-121.988,3370,63162,3,5,"low"
"6086",6086,-1.49154567091614,-11.3668314104865,3303910010,"2/20/2015",540000,3,2.5,1950,13227,2,0,0,4,9,1950,0,1978,0,98034,47.7217,-122.256,2650,12943,3,8,"top"
"6087",6087,20.2673997797061,1.78866981711058,2268000050,"7/21/2014",229900,3,1,1010,8848,1,0,0,4,7,1010,0,1968,0,98003,47.2742,-122.299,1380,10650,2,9,"low"
